Squad;Starting eleven;Substituted in;On the bench;Suspended;Injured;Giocatore;Player_id
36;25;11;0;1;1;Tommaso Augello;19867
35;35;0;0;2;0;Morten Thorsby;7775
17;12;5;0;2;0;Adrien Silva;280
11;0;1;10;1;2;Vladyslav Supryaga;99999999
1;0;0;1;0;0;Francesco Migliardi;99999999
23;10;9;4;1;13;Valerio Verre;99999999
35;35;0;0;2;1;Bartosz Bereszynski;1210
31;19;7;5;2;4;Albin Ekdal;392
36;19;14;3;0;2;Fabio Quagliarella;3281
38;20;3;15;0;0;Alex Ferrari;490
5;0;2;3;0;8;Sebastian Giovinco;99999999
31;19;7;5;0;7;Maya Yoshida;7359
36;29;0;7;0;2;Emil Audero;99999999
18;15;3;0;0;20;Manolo Gabbiadini;6596
35;0;5;30;0;0;Simone Trimboli;99999999
